nombre					fórmula	a	b	c	tmn	tmx	DHn	tn
acetona					C3H6O	10.0179	2940.46	237.2	-32.2	76.9	29.10	56.2
acido acetico				C2H4O2	10.1746	3405.57	216.8	16.8	157	23.70	117.9
acetonitrilo				C2H3N	9.65404	2945.47	224	-13.2	117	30.19	81.6
benceno					C6H6	9.26744	2788.51	220.8	6.85	104	30.72	80.0
iso-butano				C4H10	8.90474	2032.76	240	-86.2	6.86	21.30	-11.9
n-butano				C4H10	9.04484	2154.9	238.7	-78.2	16.9	22.44	-0.5
n-butanol				C4H10O	10.5826	3137.02	178.7	14.8	131	43.29	117.6
2-butanol				C4H10O	10.5768	3026.03	186.5	24.8	120	40.75	99.5
iso-butanol				C4H10O	10.2378	2874.73	172.8	19.8	115	41.82	107.8
tert-butanol				C4H10O	10.2214	2658.29	177.6	19.8	103	39.07	82.3
tetracloruro de carbono			CCl4	9.24084	2808.19	227.2 -20.2	101	29.82	76.6
clorobenceno				C6H5Cl	9.43424	3295.12	217.5	46.8	147	35.19	131.7
1-clorobutano				C4H9Cl	9.34164	2826.26	224.1	-18.2	112	30.39	78.5
cloroformo				CHCl3	9.33984	2696.79	227	-13.2	96.9	29.24	61.1
ciclohexano				C6H12	9.11934	2766.63	222.6	6.85	107	29.97	80.7
ciclopentano				C5H10	9.22404	2588.48	231.4	-43.2	71.9	27.30	49.2
n-decano				C10H22	9.37804	3456.8	194.5	56.8	203	38.75	174.1
diclorometano				CH2Cl2	9.66954 2622.44	231.4	-44.2	58.9	28.06	39.7
éter dietílico				C4H10O	9.44944	2511.29	231.2	-48.2	66.9	26.52	34.4
1,4 dioxano				C4H8O2	9.49934	2966.88	211	1.85	137	24.16	101.3
etanol					C2H6O	12.2785	3803.98	231.5	-3.15	95.9	38.56	78.2
etilbenceno				C8H10	9.38614	3279.47	213.2	26.8	177	35.57	136.2
n-heptano				C7H16	9.24034	2911.32	216.6	-3.15	127	31.77	98.4
n-hexano				C6H14	9.20324	2697.55	224.4	-28.2	96.9	28.25	68.7
metanol					CH4O	11.9541	3626.55	238.9	-16.2	90.9	35.21	64.7
acetato de metilo			C3H6O2	9.49614	2601.92	217	-28.2	86.9	30.32	56.9
metil etil cetona			C4H8O	9.96524	3150.42	236.5	-16.2	103	31.30	79.6
nitrometano				CH3NO2	9.58594	2972.64	209	4.85	136	33.99	101.2
n-nonano				C9H20	9.33374	3291.45	201.8	38.8	179	36.91	150.8
n-octano				C8H18	9.30924	3120.29	209.5	18.8	152	34.41	125.6
n-pentano				C5H12	9.19994	2477.07	233.2	-53.2	56.9	25.79	36
fenol					C6H6O	9.79454	3490.89	174.6	71.8	208	46.18	181.8
1-propanol				C3H8O	10.9105	3166.38	193	11.8	127	41.44	97.2
2-propanol				C3H8O	12.0595	3640.2	219.6	-0.15	101	39.85	82.2
tolueno					C7H8	9.38034	3096.52	219.5	6.85	137	33.18	110.6
agua					H2O	11.6702	3816.44	227	10.8	168	40.66	100.0
o-xileno				C8H10	9.48224	3395.57	213.7	31.8	172	36.24	144.4
m-xileno				C8H10	9.50564	3366.99	215.1	26.8	167	35.66	139.1
p-xileno				C8H10	9.46294	3346.65	215.3	26.8	167	35.67	138.3
